Radius,16.7,22.4,28.2,33.9,39.7,45.3,51,52,53,54
3,239.3,239.3,,,,,,,,
3.5,239.3,239.3,217.6,,,,,,,
4,239.3,239.3,239.3,,,,,,,
4.5,239.3,239.3,239.3,222.0,,,,,,
5,239.3,239.3,239.3,225.6,,,,,,
6,239.3,239.3,239.3,225.8,176.3,,,,,
7,231.2,231.6,226.7,211.8,163.1,139.1,,,,
8,212.6,211.5,207.6,194.5,151.4,130.9,107.5,,,
9,194.6,195.5,191.7,179.1,140.8,123.2,102.5,99.3,93.0,91.0
10,179.3,180.2,179.3,165.9,131.5,116.1,97.7,94.7,89.2,87.1
11,166.0,166.9,166.8,154.1,123.0,109.6,93.1,90.5,85.7,83.4
12,154.5,155.4,155.5,144.0,115.5,103.7,88.8,86.4,82.3,79.7
14,141.4,141.3,136.3,126.7,102.7,93.0,81.2,79.2,76.3,73.2
16,,123.9,121.0,113.1,93.9,84.0,74.5,72.8,70.8,67.3
18,,108.2,108.3,101.3,86.6,76.4,68.7,67.2,65.4,62.3
20,,95.6,95.6,91.2,79.9,69.8,63.5,62.3,60.7,57.8
22,,,84.9,82.8,74.1,64.1,58.6,57.8,56.5,53.8
24,,,75.9,74.7,69.1,58.9,54.3,53.7,52.7,50.1
26,,,67.4,67.1,64.6,54.4,50.4,50.0,49.2,47.1
28,,,,60.8,60.7,50.5,47.0,46.5,45.8,44.1
30,,,,55.2,56.5,46.9,43.8,43.5,42.9,41.6
32,,,,48.8,51.5,43.6,41.1,40.8,40.2,39.2
34,,,,,47.3,41.1,38.5,38.3,37.8,37.0
36,,,,,43.6,38.9,36.1,35.9,35.5,34.9
38,,,,,33.9,36.9,33.8,33.7,33.4,32.9
40,,,,,,35.3,31.8,31.8,31.4,30.9
42,,,,,,33.8,30.0,29.9,29.6,29.2
44,,,,,,,28.4,28.3,28.0,27.6
46,,,,,,,26.9,26.8,26.5,26.1
48,,,,,,,25.6,25.5,25.1,24.7
50,,,,,,,,23.3,24.0,23.5
52,,,,,,,,,,21.4
